Date,Open,Low,High,Close,Volume,Amount
2013-12-20 00:00:00,5.507,5.254,6.026,5.864,160774,1256747000.00
2013-12-27 00:00:00,5.887,5.758,6.871,6.183,255418,2161876000.00
2014-01-03 00:00:00,6.188,6.001,6.760,6.593,123452,1060131000.00
2014-01-10 00:00:00,6.630,6.421,7.208,6.684,157785,1455939000.00
2014-01-17 00:00:00,6.646,6.525,7.178,7.020,104016,973620400.00
2014-01-24 00:00:00,6.965,6.476,8.172,8.172,157248,1560750000.00
2014-01-31 00:00:00,8.356,8.156,9.448,8.946,152416,1780547000.00
2014-02-07 00:00:00,8.915,8.774,9.859,9.859,25679,322860900.00
2014-02-14 00:00:00,10.071,8.963,10.382,9.302,176956,2317835000.00
2014-02-21 00:00:00,9.161,9.161,10.519,9.912,145959,1930586000.00
2014-02-28 00:00:00,10.063,7.656,10.276,7.899,270581,3067879000.00
2014-03-07 00:00:00,7.709,7.489,8.915,8.640,261016,2902415000.00
2014-03-14 00:00:00,8.583,7.709,8.801,8.589,121408,1363199000.00
2014-03-21 00:00:00,9.296,8.780,10.139,9.675,234557,3009023000.00
2014-03-28 00:00:00,9.608,7.595,9.675,7.677,172583,2005217000.00
2014-04-04 00:00:00,7.753,7.201,8.278,7.490,171892,1770486000.00
2014-04-11 00:00:00,7.246,7.216,8.051,7.315,125611,1301242000.00
2014-04-18 00:00:00,7.341,7.338,8.013,7.847,86846,896466200.00
2014-04-25 00:00:00,7.823,7.633,8.279,7.838,118402,1277765000.00
2014-05-02 00:00:00,7.785,7.643,8.480,8.446,69065,750235500.00
2014-05-09 00:00:00,8.469,7.928,9.002,7.945,111620,1286937000.00
2014-05-16 00:00:00,8.015,7.671,8.807,7.760,132541,1469123000.00
2014-05-23 00:00:00,7.576,7.267,8.269,8.127,270888,1414406000.00
2014-05-30 00:00:00,8.134,8.026,8.981,8.768,369911,2108011000.00
2014-06-06 00:00:00,8.753,8.024,8.836,8.185,257730,1450149000.00
2014-06-13 00:00:00,8.168,7.582,8.168,7.953,290318,1538718000.00
2014-06-20 00:00:00,7.960,7.704,8.293,7.816,242806,1311665000.00
2014-06-27 00:00:00,7.821,7.792,8.930,8.631,267172,1514557000.00
2014-07-04 00:00:00,8.685,8.557,10.274,9.573,399712,2564649000.00
2014-07-11 00:00:00,9.618,9.163,10.605,9.504,354597,2346749000.00
2014-07-18 00:00:00,9.436,7.854,9.495,8.191,464780,2672390000.00
2014-07-25 00:00:00,8.193,7.569,8.551,8.024,317678,1726760000.00
2014-08-01 00:00:00,8.067,7.797,8.404,7.862,355171,1936211000.00
2014-08-08 00:00:00,7.891,7.780,8.610,8.510,371922,2053614000.00
2014-08-15 00:00:00,8.480,7.992,8.630,8.070,305297,1699616000.00
2014-08-22 00:00:00,8.071,8.070,8.677,8.480,480301,2712636000.00
2014-08-29 00:00:00,8.457,7.828,8.464,8.024,294585,1611373000.00
2014-09-05 00:00:00,8.024,7.948,8.924,8.675,473079,2686598000.00
2014-09-12 00:00:00,8.631,8.346,8.783,8.518,286649,1648852000.00
2014-09-19 00:00:00,8.518,8.249,8.935,8.399,371968,2135511000.00
